Unicode	IVS	CID	OTFT	Unicode
6DEB	E0101	7637	'jp04'	6DEB
6E1A	E0100	7700	'jp78'	6E1A
6E6E	E0101	7837	'jp78'	6E6E
6E9D	E0101	7681	'jp78'	6E9D
6EA2	E0100	1202	'jp90'	6EA2
6EA2	E0101	7635	'jp04'	6EA2
6EBA	E0100	3112	'jp90'	6EBA
6EBA	E0101	7750	'jp78'	6EBA
6F23	E0100	7809	'jp78'	6F23
6F23	E0101	4034	'jp90'	6F23
6F51	E0100	7776	'jp78'	6E8C
6FEF	E0101	7731	'jp78'	6FEF
7015	E0100	3520	'jp90'	7015
7015	E0101	7787	'jp04'	7015
701E	E0100	3244	'jp90'	701E
701E	E0101	7761	'jp04'	701E
7026	E0100	2995	'jp90'	7026
7026	E0101	7741	'jp04'	7026
7058	E0100	3263	'jp90'	7058
7058	E0101	7767	'jp04'	7058
7078	E0100	1662	'jp90'	7078
7078	E0101	20270	'jp04'	7078
707C	E0100	2314	'jp90'	707C
707C	E0101	7696	'jp04'	707C
7149	E0100	7810	'jp78'	7149
7149	E0101	4035	'jp90'	7149
714E	E0100	2717	'jp90'	714E
714E	E0101	7718	'jp04'	714E
7152	E0100	14762	'jp90'	7152
7152	E0101	21933	'jp04'	7152
717D	E0100	2718	'jp90'	717D
717D	E0101	7719	'jp78'	717D
717D	E0102	7972	'jp04'	717D
7194	E0101	7805	'jp78'	7194
7228	E0100	7839	'jp78'	7228
723A	E0100	3832	'jp90'	723A
723A	E0101	20294	'jp04'	723A
724C	E0100	3341	'jp90'	724C
724C	E0101	7771	'jp04'	724C
7259	E0100	1383	'jp90'	7259
7259	E0101	7965	'jp04'	7259
72E1	E0100	5629	'jp90'	72E1
72E1	E0101	20278	'jp04'	72E1
7337	E0100	3868	'jp90'	7337
7337	E0101	7804	'jp78'	7337
7337	E0102	14074	'jp04'	7337
73CA	E0101	7691	'jp78'	73CA
73CE	E0101	7840	'jp78'	73CE
7422	E0100	7732	'jp78'	7422
7504	E0101	7841	'jp78'	7504
750D	E0101	7842	'jp78'	750D
7511	E0100	2059	'jp90'	7511
7511	E0101	7684	'jp78'	7511
7511	E0103	20284	'jp04'	7511
7515	E0100	5704	'jp90'	7515
7515	E0101	7843	'jp78'	7515
7515	E0102	20267	'jp04'	7515
7526	E0100	5707	'jp90'	7526
7526	E0101	20283	'jp04'	7526
75BC	E0100	5741	'jp90'	75BC
75BC	E0101	20175	'jp04'	75BC
7626	E0101	7725	'jp78'	75E9
7652	E0101	7803	'jp78'	7652
7693	E0101	7844	'jp78'	7693
77A5	E0100	3613	'jp90'	77A5
77A5	E0101	7790	'jp04'	77A5
783A	E0100	3153	'jp78'	792A
787C	E0101	7845	'jp78'	787C
792A	E0100	5855	'jp78'	783A
7941	E0100	1805	'jp90'	7941
7941	E0101	7668	'jp04'	7941
7947	E0100	1626	'jp90'	7947
7947	E0101	7659	'jp04'	7947
79B0	E0100	3295	'jp90'	79B0
79B0	E0101	7769	'jp04'	79B0
79B1	E0100	7758	'jp78'	7977
79E4	E0100	3359	'jp90'	79E4
79E4	E0101	7773	'jp04'	79E4
7A17	E0100	3477	'jp90'	7A17
7A17	E0101	7782	'jp04'	7A17
7A31	E0101	7846	'jp78'	7A31
7A7F	E0100	2720	'jp90'	7A7F
7A7F	E0101	7973	'jp04'	7A7F
7AC8	E0100	5937	'jp90'	7AC8
7AC8	E0101	20285	'jp04'	7AC8
7B08	E0100	1666	'jp90'	7B08
7B08	E0102	20263	'jp04'	7B08
7B75	E0100	5976	'jp90'	7B75
7B75	E0101	20266	'jp04'	7B75
7B99	E0101	7848	'jp78'	7B99
7BAD	E0100	2721	'jp90'	7BAD
7BAD	E0101	7974	'jp04'	7BAD
7BB8	E0100	3384	'jp90'	7BB8
7BB8	E0101	7775	'jp04'	7BB8
7BC7	E0100	3619	'jp90'	7BC7
7BC7	E0101	7979	'jp04'	7BC7
7BDD	E0100	6001	'jp90'	7BDD
7BDD	E0101	7997	'jp04'	7BDD
7C3E	E0100	4036	'jp90'	7C3E
7C3E	E0102	20265	'jp04'	7C3E
7C7E	E0100	3822	'jp90'	7C7E
7C7E	E0101	7800	'jp78'	7C7E
7C7E	E0102	20293	'jp04'	7C7E
7C82	E0100	1791	'jp90'	7C82
7C82	E0101	20272	'jp04'	7C82
7C90	E0101	7849	'jp78'	7C90
7CAE	E0101	7850	'jp78'	7CAE
7D9B	E0101	7851	'jp78'	7D9B
7D9F	E0101	7853	'jp78'	7D9F
7DAE	E0101	7852	'jp78'	7DAE
7FD4	E0101	7854	'jp78'	7FD4
7FE0	E0101	7712	'jp78'	7FE0
7FEB	E0100	1569	'jp90'	7FEB
7FEB	E0101	7657	'jp04'	7FEB
7FF0	E0100	1545	'jp90'	7FF0
7FF0	E0101	7656	'jp04'	7FF0
8000	E0101	7806	'jp78'	8000
8171	E0100	6258	'jp90'	8171
8171	E0101	20275	'jp04'	8171
817F	E0100	2876	'jp90'	817F
817F	E0101	7728	'jp04'	817F
822E	E0101	7855	'jp78'	822E
8258	E0100	6310	'jp90'	8258
8258	E0101	14196	'jp04'	8258
828D	E0101	7856	'jp78'	828D
8292	E0100	6325	'jp90'	8292
8292	E0101	20292	'jp04'	8292
82A6	E0100	1142	'jp90'	82A6
82A6	E0101	7961	'jp04'	82A6
82D2	E0101	7857	'jp78'	82D2
8323	E0101	7858	'jp78'	8323
8328	E0100	1205	'jp90'	8328
8328	E0101	7962	'jp04'	8328
8375	E0101	7859	'jp78'	8375
83DF	E0101	7755	'jp78'	83DF
845B	E0100	1481	'jp90'	845B
845B	E0101	7652	'jp04'	845B
84EC	E0100	3671	'jp90'	84EC
84EC	E0101	7794	'jp04'	84EC
84EE	E0100	7811	'jp78'	84EE
8511	E0100	3614	'jp90'	8511
8511	E0101	14013	'jp04'	8511
8517	E0101	7860	'jp78'	8517
853D	E0100	3603	'jp90'	853D
853D	E0101	7789	'jp04'	853D
85A9	E0100	2165	'jp90'	85A9
85A9	E0101	7688	'jp04'	85A9
85AF	E0100	2428	'jp90'	85AF
85AF	E0101	7701	'jp04'	85AF
85F7	E0100	2429	'jp90'	85F7
85F7	E0101	7702	'jp04'	85F7
8612	E0101	8612	'jp90'	FA20
8612	E0102	21073	'jp04'	FA20
8654	E0100	6481	'jp90'	8654
8654	E0101	20274	'jp04'	8654
86F8	E0100	2909	'jp90'	86F8
86F8	E0101	7733	'jp04'	86F8
8703	E0100	6510	'jp90'	8703
8703	E0101	20296	'jp04'	8703
8755	E0100	2544	'jp90'	8755
8755	E0101	7709	'jp04'	8755
8782	E0101	7862	'jp78'	8782
87D2	E0101	7863	'jp78'	87D2
8805	E0100	6537	'jp90'	8805
8805	E0102	20295	'jp04'	8805
890A	E0101	7864	'jp78'	890A
8956	E0100	1320	'jp90'	8956
8956	E0101	7645	'jp04'	8956
89AF	E0101	7865	'jp78'	89AF
8A0A	E0100	2588	'jp90'	8A0A
8A0A	E0101	13860	'jp04'	8A0A
8A1D	E0100	6662	'jp90'	8A1D
8A1D	E0102	20268	'jp04'	8A1D
8A3B	E0100	2990	'jp90'	8A3B
8A3B	E0101	7740	'jp04'	8A3B
8A6E	E0100	2729	'jp90'	8A6E
8A6E	E0101	7720	'jp04'	8A6E
8AB9	E0100	3460	'jp90'	8AB9
8AB9	E0101	13495	'jp04'	8AB9
8ADE	E0101	7866	'jp78'	8ADE
8AFA	E0100	1909	'jp90'	8AFA
8AFA	E0101	7678	'jp04'	8AFA
8B0E	E0100	3262	'jp90'	8B0E
8B0E	E0101	7766	'jp04'	8B0E
8B2C	E0100	3495	'jp90'	8B2C
8B2C	E0101	7785	'jp04'	8B2C
8B41	E0101	7867	'jp78'	8B41
8B7F	E0100	8625	'jp90'	8B7F
8B7F	E0101	21074	'jp04'	8B7F
8C79	E0100	3505	'jp90'	8C79
8C79	E0101	20222	'jp04'	8C79
8CED	E0100	3148	'jp90'	8CED
8CED	E0101	7756	'jp04'	8CED
8DDA	E0101	7868	'jp78'	8DDA
8E09	E0101	7869	'jp78'	8E09
8F13	E0101	7870	'jp78'	8F13
8FBB	E0100	3056	'jp90'	8FBB
8FBB	E0101	8267	'jp04'	8FBB
8FBF	E0100	2919	'jp90'	8FBF
8FBF	E0101	7735	'jp04'	8FBF
8FC2	E0100	1228	'jp90'	8FC2
8FC2	E0101	7638	'jp04'	8FC2
8FC4	E0100	3750	'jp90'	8FC4
8FC4	E0101	7980	'jp04'	8FC4
8FE6	E0100	1376	'jp90'	8FE6
8FE6	E0101	7647	'jp04'	8FE6
8FE9	E0101	7872	'jp78'	9087
8FEA	E0101	7871	'jp78'	8FEA
9017	E0100	2598	'jp90'	9017
9017	E0101	7711	'jp04'	9017
9019	E0100	3357	'jp90'	9019
9019	E0101	7772	'jp04'	9019
901D	E0101	7714	'jp78'	901D
9022	E0100	1133	'jp90'	9022
9022	E0101	8266	'jp04'	9022
903C	E0100	3489	'jp90'	903C
903C	E0101	7783	'jp04'	903C
9041	E0100	3251	'jp90'	9041
9041	E0101	7763	'jp78'	9041
9041	E0102	20287	'jp04'	9041
9058	E0101	7873	'jp78'	9058
905C	E0100	2845	'jp90'	905C
905C	E0101	7726	'jp04'	905C
9061	E0100	2766	'jp90'	9061
9061	E0101	7722	'jp04'	9061
906E	E0101	7694	'jp78'	906E
907C	E0101	7808	'jp78'	907C
9087	E0100	6893	'jp78'	8FE9
90A3	E0101	7765	'jp78'	90A3
912D	E0100	3100	'jp90'	912D
912D	E0101	7748	'jp04'	912D
914B	E0100	2368	'jp90'	914B
914B	E0101	7698	'jp04'	914B
91B1	E0100	7777	'jp78'	9197
91C1	E0101	7875	'jp78'	91C1
91C7	E0101	7685	'jp78'	91C7
91DC	E0100	1494	'jp90'	91DC
91DC	E0101	20290	'jp04'	91DC
9306	E0100	2170	'jp90'	9306
9306	E0101	7690	'jp04'	9306
9375	E0100	1892	'jp90'	9375
9375	E0101	20276	'jp04'	9375
939A	E0100	3046	'jp90'	939A
939A	E0101	7745	'jp04'	939A
9453	E0100	3846	'jp90'	9453
9453	E0101	7801	'jp04'	9453
9699	E0100	1850	'jp90'	9699
9699	E0101	20273	'jp04'	9699
9724	E0101	7878	'jp78'	9724
9760	E0101	7879	'jp78'	9760
976D	E0101	7880	'jp78'	9771
9771	E0100	7152	'jp90'	9771
9771	E0101	7710	'jp78'	976D
9771	E0102	13624	'jp04'	9771
9774	E0101	7667	'jp78'	9774
9784	E0100	1489	'jp90'	9784
9784	E0101	7653	'jp04'	9784
9798	E0100	2508	'jp90'	9798
9798	E0101	7708	'jp04'	9798
97AD	E0100	3628	'jp90'	97AD
97AD	E0101	20291	'jp04'	97AD
9813	E0101	7764	'jp78'	9813
9824	E0101	7881	'jp78'	9824
983B	E0100	7788	'jp78'	983B
98F4	E0100	1151	'jp90'	98F4
98F4	E0101	7634	'jp04'	98F4
9905	E0100	3819	'jp90'	9905
9905	E0101	7799	'jp04'	9905
990C	E0100	1252	'jp90'	990C
990C	E0101	7643	'jp78'	990C
990C	E0103	13650	'jp04'	990C
9910	E0100	2191	'jp90'	9910
9910	E0101	7970	'jp04'	9910
9957	E0100	1722	'jp90'	9957
9957	E0101	7968	'jp04'	9957
99C1	E0100	3379	'jp90'	99C1
99C1	E0101	20288	'jp04'	99C1
9A19	E0100	7248	'jp90'	9A19
9A19	E0101	8003	'jp04'	9A19
9A4A	E0100	15319	'jp90'	9A4A
9A4A	E0101	22920	'jp04'	9A4A
9B2E	E0101	7882	'jp78'	9B2E
9B97	E0101	7883	'jp78'	9B97
9BAB	E0100	2171	'jp90'	9BAB
9BAB	E0101	20280	'jp04'	9BAB
9BD6	E0100	2168	'jp90'	9BD6
9BD6	E0101	7689	'jp04'	9BD6
9BF2	E0101	7884	'jp78'	9BF2
9C2F	E0100	1207	'jp90'	9C2F
9C2F	E0101	7636	'jp04'	9C2F
9C48	E0101	7737	'jp78'	9C48
9C52	E0100	3742	'jp90'	9C52
9C52	E0101	7796	'jp04'	9C52
9D07	E0101	7759	'jp78'	9D07
9D09	E0100	7362	'jp90'	9D09
9D09	E0101	14272	'jp04'	9D09
9D60	E0100	2054	'jp90'	9D60
9D60	E0101	7683	'jp04'	9D60
9EAA	E0101	7885	'jp78'	9EAA
9EDB	E0101	7729	'jp78'	9EDB
9F9C	E0101	7886	'jp78'	9F9C
9F9D	E0101	7847	'jp78'	9F9D
